trial comp/dSemi comp/dEcc 
a27_e24 6203.018709 0.744828
a27_e25 6203.018709 0.775862
a27_e26 6203.018709 0.806897
a27_e27 6203.018709 0.837931
a27_e28 6203.018709 0.868966
a27_e29 6203.018709 0.900000
a28_e00 7044.441047 0.000000
a28_e01 7044.441047 0.031034
a28_e02 7044.441047 0.062069
a28_e03 7044.441047 0.093103
a28_e04 7044.441047 0.124138
a28_e05 7044.441047 0.155172
a28_e06 7044.441047 0.186207
a28_e07 7044.441047 0.217241
a28_e08 7044.441047 0.248276
a28_e09 7044.441047 0.279310
a28_e10 7044.441047 0.310345
a28_e11 7044.441047 0.341379
a28_e12 7044.441047 0.372414
a28_e13 7044.441047 0.403448
a28_e14 7044.441047 0.434483
a28_e15 7044.441047 0.465517
a28_e16 7044.441047 0.496552
a28_e17 7044.441047 0.527586
a28_e18 7044.441047 0.558621
a28_e19 7044.441047 0.589655
a28_e20 7044.441047 0.620690
a28_e21 7044.441047 0.651724
a28_e22 7044.441047 0.682759
a28_e23 7044.441047 0.713793
a28_e24 7044.441047 0.744828
a28_e25 7044.441047 0.775862
a28_e26 7044.441047 0.806897
a28_e27 7044.441047 0.837931
a28_e28 7044.441047 0.868966
a28_e29 7044.441047 0.900000
a29_e00 8000.000000 0.000000
a29_e01 8000.000000 0.031034
a29_e02 8000.000000 0.062069
a29_e03 8000.000000 0.093103
a29_e04 8000.000000 0.124138
a29_e05 8000.000000 0.155172
a29_e06 8000.000000 0.186207
a29_e07 8000.000000 0.217241
a29_e08 8000.000000 0.248276
a29_e09 8000.000000 0.279310
a29_e10 8000.000000 0.310345
a29_e11 8000.000000 0.341379
a29_e12 8000.000000 0.372414
a29_e13 8000.000000 0.403448
a29_e14 8000.000000 0.434483
a29_e15 8000.000000 0.465517
a29_e16 8000.000000 0.496552
a29_e17 8000.000000 0.527586
a29_e18 8000.000000 0.558621
a29_e19 8000.000000 0.589655
a29_e20 8000.000000 0.620690
a29_e21 8000.000000 0.651724
a29_e22 8000.000000 0.682759
a29_e23 8000.000000 0.713793
a29_e24 8000.000000 0.744828
a29_e25 8000.000000 0.775862
a29_e26 8000.000000 0.806897
a29_e27 8000.000000 0.837931
a29_e28 8000.000000 0.868966
a29_e29 8000.000000 0.900000
