trial comp/dSemi comp/dEcc 
a06_e18 429.032986 0.558621
a06_e19 429.032986 0.589655
a06_e20 429.032986 0.620690
a06_e21 429.032986 0.651724
a06_e22 429.032986 0.682759
a06_e23 429.032986 0.713793
a06_e24 429.032986 0.744828
a06_e25 429.032986 0.775862
a06_e26 429.032986 0.806897
a06_e27 429.032986 0.837931
a06_e28 429.032986 0.868966
a06_e29 429.032986 0.900000
a07_e00 487.230124 0.000000
a07_e01 487.230124 0.031034
a07_e02 487.230124 0.062069
a07_e03 487.230124 0.093103
a07_e04 487.230124 0.124138
a07_e05 487.230124 0.155172
a07_e06 487.230124 0.186207
a07_e07 487.230124 0.217241
a07_e08 487.230124 0.248276
a07_e09 487.230124 0.279310
a07_e10 487.230124 0.310345
a07_e11 487.230124 0.341379
a07_e12 487.230124 0.372414
a07_e13 487.230124 0.403448
a07_e14 487.230124 0.434483
a07_e15 487.230124 0.465517
a07_e16 487.230124 0.496552
a07_e17 487.230124 0.527586
a07_e18 487.230124 0.558621
a07_e19 487.230124 0.589655
a07_e20 487.230124 0.620690
a07_e21 487.230124 0.651724
a07_e22 487.230124 0.682759
a07_e23 487.230124 0.713793
a07_e24 487.230124 0.744828
a07_e25 487.230124 0.775862
a07_e26 487.230124 0.806897
a07_e27 487.230124 0.837931
a07_e28 487.230124 0.868966
a07_e29 487.230124 0.900000
a08_e00 553.321543 0.000000
a08_e01 553.321543 0.031034
a08_e02 553.321543 0.062069
a08_e03 553.321543 0.093103
a08_e04 553.321543 0.124138
a08_e05 553.321543 0.155172
a08_e06 553.321543 0.186207
a08_e07 553.321543 0.217241
a08_e08 553.321543 0.248276
a08_e09 553.321543 0.279310
a08_e10 553.321543 0.310345
a08_e11 553.321543 0.341379
a08_e12 553.321543 0.372414
a08_e13 553.321543 0.403448
a08_e14 553.321543 0.434483
a08_e15 553.321543 0.465517
a08_e16 553.321543 0.496552
a08_e17 553.321543 0.527586
a08_e18 553.321543 0.558621
a08_e19 553.321543 0.589655
a08_e20 553.321543 0.620690
a08_e21 553.321543 0.651724
a08_e22 553.321543 0.682759
a08_e23 553.321543 0.713793
a08_e24 553.321543 0.744828
a08_e25 553.321543 0.775862
a08_e26 553.321543 0.806897
a08_e27 553.321543 0.837931
a08_e28 553.321543 0.868966
a08_e29 553.321543 0.900000
a09_e00 628.378081 0.000000
a09_e01 628.378081 0.031034
a09_e02 628.378081 0.062069
a09_e03 628.378081 0.093103
a09_e04 628.378081 0.124138
a09_e05 628.378081 0.155172
a09_e06 628.378081 0.186207
a09_e07 628.378081 0.217241
a09_e08 628.378081 0.248276
a09_e09 628.378081 0.279310
a09_e10 628.378081 0.310345
a09_e11 628.378081 0.341379
a09_e12 628.378081 0.372414
a09_e13 628.378081 0.403448
a09_e14 628.378081 0.434483
a09_e15 628.378081 0.465517
a09_e16 628.378081 0.496552
a09_e17 628.378081 0.527586
a09_e18 628.378081 0.558621
a09_e19 628.378081 0.589655
a09_e20 628.378081 0.620690
a09_e21 628.378081 0.651724
a09_e22 628.378081 0.682759
a09_e23 628.378081 0.713793
a09_e24 628.378081 0.744828
a09_e25 628.378081 0.775862
a09_e26 628.378081 0.806897
a09_e27 628.378081 0.837931
a09_e28 628.378081 0.868966
a09_e29 628.378081 0.900000
a10_e00 713.615830 0.000000
a10_e01 713.615830 0.031034
a10_e02 713.615830 0.062069
a10_e03 713.615830 0.093103
a10_e04 713.615830 0.124138
a10_e05 713.615830 0.155172
a10_e06 713.615830 0.186207
a10_e07 713.615830 0.217241
a10_e08 713.615830 0.248276
a10_e09 713.615830 0.279310
a10_e10 713.615830 0.310345
a10_e11 713.615830 0.341379
a10_e12 713.615830 0.372414
a10_e13 713.615830 0.403448
a10_e14 713.615830 0.434483
a10_e15 713.615830 0.465517
a10_e16 713.615830 0.496552
a10_e17 713.615830 0.527586
a10_e18 713.615830 0.558621
a10_e19 713.615830 0.589655
a10_e20 713.615830 0.620690
a10_e21 713.615830 0.651724
a10_e22 713.615830 0.682759
a10_e23 713.615830 0.713793
a10_e24 713.615830 0.744828
a10_e25 713.615830 0.775862
a10_e26 713.615830 0.806897
a10_e27 713.615830 0.837931
a10_e28 713.615830 0.868966
a10_e29 713.615830 0.900000
a11_e00 810.415845 0.000000
a11_e01 810.415845 0.031034
a11_e02 810.415845 0.062069
a11_e03 810.415845 0.093103
a11_e04 810.415845 0.124138
a11_e05 810.415845 0.155172
a11_e06 810.415845 0.186207
a11_e07 810.415845 0.217241
a11_e08 810.415845 0.248276
a11_e09 810.415845 0.279310
a11_e10 810.415845 0.310345
a11_e11 810.415845 0.341379
a11_e12 810.415845 0.372414
a11_e13 810.415845 0.403448
a11_e14 810.415845 0.434483
a11_e15 810.415845 0.465517
a11_e16 810.415845 0.496552
a11_e17 810.415845 0.527586
a11_e18 810.415845 0.558621
a11_e19 810.415845 0.589655
a11_e20 810.415845 0.620690
a11_e21 810.415845 0.651724
a11_e22 810.415845 0.682759
a11_e23 810.415845 0.713793
a11_e24 810.415845 0.744828
a11_e25 810.415845 0.775862
a11_e26 810.415845 0.806897
a11_e27 810.415845 0.837931
a11_e28 810.415845 0.868966
a11_e29 810.415845 0.900000
a12_e00 920.346513 0.000000
a12_e01 920.346513 0.031034
a12_e02 920.346513 0.062069
a12_e03 920.346513 0.093103
a12_e04 920.346513 0.124138
a12_e05 920.346513 0.155172
a12_e06 920.346513 0.186207
a12_e07 920.346513 0.217241
a12_e08 920.346513 0.248276
a12_e09 920.346513 0.279310
a12_e10 920.346513 0.310345
a12_e11 920.346513 0.341379
a12_e12 920.346513 0.372414
a12_e13 920.346513 0.403448
a12_e14 920.346513 0.434483
a12_e15 920.346513 0.465517
a12_e16 920.346513 0.496552
a12_e17 920.346513 0.527586
a12_e18 920.346513 0.558621
a12_e19 920.346513 0.589655
a12_e20 920.346513 0.620690
a12_e21 920.346513 0.651724
a12_e22 920.346513 0.682759
a12_e23 920.346513 0.713793
a12_e24 920.346513 0.744828
a12_e25 920.346513 0.775862
a12_e26 920.346513 0.806897
a12_e27 920.346513 0.837931
a12_e28 920.346513 0.868966
a12_e29 920.346513 0.900000
a13_e00 1045.188973 0.000000
a13_e01 1045.188973 0.031034
a13_e02 1045.188973 0.062069
a13_e03 1045.188973 0.093103
a13_e04 1045.188973 0.124138
a13_e05 1045.188973 0.155172
a13_e06 1045.188973 0.186207
a13_e07 1045.188973 0.217241
a13_e08 1045.188973 0.248276
a13_e09 1045.188973 0.279310
a13_e10 1045.188973 0.310345
a13_e11 1045.188973 0.341379
a13_e12 1045.188973 0.372414
a13_e13 1045.188973 0.403448
a13_e14 1045.188973 0.434483
a13_e15 1045.188973 0.465517
a13_e16 1045.188973 0.496552
a13_e17 1045.188973 0.527586
a13_e18 1045.188973 0.558621
a13_e19 1045.188973 0.589655
a13_e20 1045.188973 0.620690
a13_e21 1045.188973 0.651724
a13_e22 1045.188973 0.682759
a13_e23 1045.188973 0.713793
a13_e24 1045.188973 0.744828
a13_e25 1045.188973 0.775862
a13_e26 1045.188973 0.806897
a13_e27 1045.188973 0.837931
a13_e28 1045.188973 0.868966
a13_e29 1045.188973 0.900000
a14_e00 1186.965968 0.000000
a14_e01 1186.965968 0.031034
a14_e02 1186.965968 0.062069
a14_e03 1186.965968 0.093103
a14_e04 1186.965968 0.124138
a14_e05 1186.965968 0.155172
a14_e06 1186.965968 0.186207
a14_e07 1186.965968 0.217241
a14_e08 1186.965968 0.248276
a14_e09 1186.965968 0.279310
a14_e10 1186.965968 0.310345
a14_e11 1186.965968 0.341379
a14_e12 1186.965968 0.372414
a14_e13 1186.965968 0.403448
a14_e14 1186.965968 0.434483
